label,cleaned,adjusted,Comments,Synonym,NeuroElectro,BAMS,Neurolex,Hippocampome,BBP Cell,NeuroMorpho,Autogenerated,Added
Thalamic reticular nucleus projection neuron,,,,,x,,x,,,,,
Thalamic reticular nucleus intrinsic interneuron,,,,,,,,,,,x,
Trapezoid Body medial nucleus intrinsic neuron,,,,,,,,,,,,
Trapezoid Body medial nucleus principal neuron,,,,,x,,,,,,,
Trigeminal nerve motor nucleus intrinsic interneuron,,,,,,,,,,,x,
Trigeminal nerve motor nucleus projection neuron,,,,,,,,,,,x,
Trigeminal nerve principal sensory nucleus intrinsic interneuron,,,,,,,,,,,x,
Trigeminal nerve principal sensory nucleus projection neuron,,,,,,,,,,,x,
Trigeminal nucleus intrinsic cell,,,,,x,,x,,,,,
Trigeminal nucleus motor neuron,,,,,x,,x,,,,,
Trochlear nucleus intrinsic interneuron,,,,,,,,,,,x,
Trochlear nucleus motor neuron,,,,Trochlear nucleus motoneurons,x,,x,,,,,
Ventral tegmental area dopamine neuron,,,,,x,,x,,,,,
Vestibular ganglion cell,,,,,x,,x,,,,,
Vestibular nucleus medial neuron,,,,,x,,,,,,,
Zona incerta intrinsic interneuron,,,,,,,,,,,x,
Zona incerta projection neuron,,,,,,,,,,,x,
GABAergic neuron,,,high level type with many subtypes across all sources,,,,,,,,,
Glutamatergic neuron,,,high level type with many subtypes across all sources,,,,,,,,,
Cholinergic neuron,,,high level type with many subtypes across all sources,,,,,,,,,
Serotonergic neuron,,,high level type with many subtypes across all sources,,,,,,,,,
Neocortex neuron,,,high level type with many subtypes across all sources,,,,,,,,,
Hippocampal formation neuron,,,high level type with many subtypes across all sources,,,,,,,,,
