        Second Lumbar Spinal Cord Segment    UBERON:0006450
        Second Sacral Spinal Cord Segment    UBERON:0006461
        Second Thoracic Spinal Cord Segment    UBERON:0006458
        Seventh Thoracic Spinal Cord Segment    UBERON:0006455
        Sixth Cervical Spinal Cord Segment
        Sixth Thoracic Spinal Cord Segment    UBERON:0006454
        Spinal Cord Commissure    UBERON:0008882
        Spinal Cord Dorsal White Commissure    UBERON:0007840
        Spinal Cord Gray Commissure    UBERON:0004677
        Spinal Cord Lateral Horn    UBERON:0004676
        Spinal Cord Reticular Nucleus    UBERON:0006319
        Spinal Cord Segment    UBERON:0005844
        Spinal Cord Ventral Commissure    UBERON:0004170
        Spinal Cord White Commissure    UBERON:0007838
        Substantia Gelatinosa Of Cervical Spinal Cord Dorsal Horn    UBERON:0014623
        Substantia Gelatinosa Of Lumbar Spinal Cord Dorsal Horn    UBERON:0014633
        Substantia Gelatinosa Of Thoracic Spinal Cord Dorsal Horn    UBERON:0014612
        Substantia Gelatinosa    UBERON:0002181
        Tenth Thoracic Spinal Cord Segment    UBERON:0006466
        Third Cervical Spinal Cord Segment
        Third Lumbar Spinal Cord Segment    UBERON:0006449
        Third Sacral Spinal Cord Segment    UBERON:0006462
        Third Thoracic Spinal Cord Segment    UBERON:0006459
        Thoracic Spinal Cord Dorsal Column    UBERON:0005839
        Thoracic Spinal Cord Dorsal Horn    UBERON:0014609
        Thoracic Spinal Cord Gray Commissure    UBERON:0026293
        Thoracic Spinal Cord Gray Matter    UBERON:0014636
        Thoracic Spinal Cord Lateral Column    UBERON:0005847
        Thoracic Spinal Cord Lateral Horn    UBERON:0014607
        Thoracic Spinal Cord Ventral Column    UBERON:0005852
        Thoracic Spinal Cord Ventral Commissure    UBERON:0007837
        Thoracic Spinal Cord Ventral Horn    UBERON:0014610
        Thoracic Spinal Cord White Matter    UBERON:0014637
        Thoracic Spinal Cord    UBERON:0003038
        Thoracic Subsegment Of Spinal Cord    UBERON:0007715
        Tract Of Spinal Cord    UBERON:0007699
        Twelfth Thoracic Spinal Cord Segment    UBERON:0006468
        Ventral Commissural Nucleus Of Spinal Cord    UBERON:0034771
        Ventral Corticospinal Tract    UBERON:0002760
        Ventral Gray Commissure Of Spinal Cord    UBERON:0014630
        Ventral Horn Of Spinal Cord    UBERON:0002257
        Ventral Nerve Root Of Lumbar Spinal Cord    UBERON:0024382
        Ventral Nerve Root Of Sacral Spinal Cord    UBERON:0023623
        Ventral Nerve Root Of Thoracic Spinal Cord    UBERON:0014617
        White Matter Of Spinal Cord    UBERON:0002318
        Lamina I Of Gray Matter Of Spinal Cord    UBERON:0006118
        Lamina Iii Of Gray Matter Of Spinal Cord    UBERON:0016574
        Lamina Iv Of Gray Matter Of Spinal Cord    UBERON:0016575
        Lamina Ix Of Gray Matter Of Spinal Cord    UBERON:0016580
        Lamina Of Gray Matter Of Spinal Cord    UBERON:0016570
        Lamina V Of Gray Matter Of Spinal Cord    UBERON:0016576
        Lamina Vi Of Gray Matter Of Spinal Cord    UBERON:0016577
        Lamina Vii Of Gray Matter Of Spinal Cord    UBERON:0016578
        Lamina Viii Of Gray Matter Of Spinal Cord    UBERON:0016579
        Spinal Cord Gray Commissure    UBERON:0004677
        Substantia Gelatinosa Of Cervical Spinal Cord Dorsal Horn    UBERON:0014623
        Substantia Gelatinosa Of Lumbar Spinal Cord Dorsal Horn    UBERON:0014633
        Substantia Gelatinosa Of Thoracic Spinal Cord Dorsal Horn    UBERON:0014612
        Substantia Gelatinosa    UBERON:0002181
    Internal Anatomy
        Accessory Nerve Fiber Bundle    UBERON:0006117
        Accessory Nucleus    NLX:39810
        Ampulla Caudalis    UBERON:0011360
        Apex Of Lumbar Spinal Cord Dorsal Horn    UBERON:0014632
        Apex Of Thoracic Spinal Cord Dorsal Horn    UBERON:0014611
        Caudal Segment Of Spinal Cord    UBERON:0005845
        Central Canal Of Spinal Cord    UBERON:0002291
        Clarke'S Nucleus    UBERON:0002246
        Conus Medullaris    UBERON:0005437
        Cuneate Fasciculus Of Spinal Cord    UBERON:0005832
        Dorsal Commissural Nucleus Of Spinal Cord    UBERON:0011776
        Dorsomedial Sulcus
        Fasciculus Of Spinal Cord    UBERON:0005837
        Filum Terminale Externum    UBERON:0010270
        Filum Terminale Internum    UBERON:0010269
        Filum Terminale    UBERON:0005443
        Floor Plate Spinal Cord Region    UBERON:0005723
        Funiculus Of Spinal Cord    UBERON:0006127
        Ganglion Part Of Peripheral Nervous System    UBERON:0024940
        Gracile Fasciculus Of Spinal Cord    UBERON:0005826
        Intermediolateral Nucleus    UBERON:0002175
        Intermediomedial Cell Column
        Lamina Of Gray Matter Of Spinal Cord    UBERON:0016570
        Lateral Cervical Nucleus    FMA:73921
        Lateral Corticospinal Tract    FMA:72635
        Lateral Spinal Nucleus    UBERON:0035024
        Meninx Of Spinal Cord    UBERON:0003292
        Nucleus Of Phrenic Nerve    UBERON:0016850
        Nucleus Of Pudendal Nerve    UBERON:0022278
        Nucleus Of The Bulbocavernosus    UBERON:0018545
